"","x"
"1","보스 베이비 2별점 - 총 10점 중10볼수록 보고싶어지는 애니ㅋㅋㅋ 신고"
"2","보스 베이비 2별점 - 총 10점 중10가족들이랑 보기 좋은 것 같아요^^ 신고"
"3","보스 베이비 2별점 - 총 10점 중10오랜만에 정말 재미있었던 영화 신고"
"4","보스 베이비 2별점 - 총 10점 중10이번 편도 역시 흥미진진ㅎㅎ 역시 보스베이비! 신고"
"5","보스 베이비 2별점 - 총 10점 중10가족의 소중함이 무엇인지 가슴 깊이 느낄 수 있었던 영화 신고"
"6","보스 베이비 2별점 - 총 10점 중6조금 지루하고 졸렸음.아이들은 한 명은 재미 있어했고한 명은 지루해했어요. 신고"
"7","보스 베이비 2별점 - 총 10점 중10생각보다 더 재밌고 보는내내 흐뭇하게 봤습니다 신고"
"8","보스 베이비 2별점 - 총 10점 중10아기들이 귀엽고 사랑스러워요~~ 신고"
"9","보스 베이비 2별점 - 총 10점 중93편도 기대가 되는 보스베이비! 신고"
"10","보스 베이비 2별점 - 총 10점 중10귀엽고 재밌고 스토리 탄탄하고 굿! 신고"
"11","보스 베이비 2별점 - 총 10점 중10오빠랑 가볍게 보러갔는데 마지막에 독창할때 소름이 쫙 돋았네요 3편도 나왔으면 신고"
"12","보스 베이비 2별점 - 총 10점 중10신고"
"13","보스 베이비 2별점 - 총 10점 중10함께하면 얼마나 행복한지,그리고 가족의 소중함을 알게해준 영화이다. 신고"
"14","보스 베이비 2별점 - 총 10점 중10귀여워 역시 보스베이비는 ㅋㅋ 신고"
"15","보스 베이비 2별점 - 총 10점 중10보스베이비1보고 보러갔더니 연결되는 느낌이어서 더 좋았어요! 신고"
"16","보스 베이비 2별점 - 총 10점 중10정말 재미있어요. 1도 재밌게 봤는데 제 취향으론 2가 더 재밌는것 같아요.귀엽고 노래도 좋아요ㅠ 마지막 장면이 인상깊었던.. 신고"
"17","보스 베이비 2별점 - 총 10점 중10시작부터 끝까지 이렇게 단 한순간도 멈춤 없이 본 애니는 처음인듯 신고"
"18","보스 베이비 2별점 - 총 10점 중10모 처럼 아이들과 즐거운 관람이였네요^^ 신고"
"19","보스 베이비 2별점 - 총 10점 중10초3 아들이랑 같이 가서 봤어요~ 아이가 보스베이비 1편을 10번은 본거같아요. 완전 팬이라 2편 개봉한다 소식 듣고 바로 예매해서 봤는데 하하하 아들이 보는 내내 깔깔 대며 웃고 신이 났더라고요. 아주 재밌었다며 엄지 척! 거기다가 부성애 코드도 들어있는 바람에 중간에 울컥해서 저는 눈물을 줄줄 흘렸네요. 러닝타임 내내 지루할 틈 없는 시간이었습니다~^^ 신고"
"20","보스 베이비 2별점 - 총 10점 중9재밌는데 더빙은 보지 마세요 신고"
"21","보스 베이비 2별점 - 총 10점 중101편보다 훨씬 재밌었다 강추ㅋㅋ 신고"
