"","x"
"1","랑종별점 - 총 10점 중2무당 3남매의 연기는 매우 볼만합니다만 에이스 몇이서 캐리할 수는 없을정도로 판 자체가 구립니다. 페이크다큐의 형식을 빌렸으나 중반부부턴 틀 따윈 개나 줘버리고는 스스로 엑소시즘의 아류작 수준으로 떨어져버립니다. 처음의 깊이있는 분위기와 아슬아슬한 긴장감은 어느새 사라지고 다소 역겨울 수 있는 시각적인 자극만 남아요. 조연들은 어떤 저항의식도 없이 영화 내내 아주 순종적으로 트롤짓을 일삼아 이게 공포를 주는 영환지 스트레스를 주는 영환지 헷갈리게 하고 여러 복선 요소들도 두어 번씩 보여주는 데다 연결고리도 1차원적이고 직관적이라 여운이랄 것도 안 남습니다. 페이크다큐 형식을 차용했으면 처음부터 끝까지 현실속에서의 비현실을 비춰 잡스럽고 단순한 시각적 공포 대신 미지에서 오는 아련한 공포감을 살리는 게 훨씬 좋지 않았을까 싶네요. 신고"
"2","랑종별점 - 총 10점 중1그냥 보고나면 비위 상하는 영화 신고"
"3","랑종별점 - 총 10점 중10오컬트물 좋아하시는분들은 좋아하실듯 처음부터 무서운게 아니라 점점 조금씩 빌드업시키기에 긴장감이 점점 고조됨 나는 굉장히 재밌게봤음 밍 역할 배우도 연기잘하고 기괴하고 처참하고 비극적인거 좋아하는분들은 보시면됨 신고"
"4","랑종별점 - 총 10점 중7중반부 기점으로 완전히 영화 색이 달라집니다. 재미있어요! 신고"
"5","랑종별점 - 총 10점 중4결국 나홍진의 곡성은 실력이 아닌 우연이 었구나. 앞으로 나홍진 영화는 내려 갈일만 남은 듯..보다가 시계3번 봤다..., 아듀 나홍진... 신고"
"6","랑종별점 - 총 10점 중1연출 연기 스토리 영상미 OST 모든게 최악.인데, 뭘 감상포인트를 추천하라는건가요ㅡㅡ 신고"
"7","랑종별점 - 총 10점 중4솔직히 기대를 많이 하고 봤는데 실망이 크네요 결말이 좀 허무합니다 … 똥을 싸다만 느낌 신고"
"8","랑종별점 - 총 10점 중1나홍진이 태국사람들과 같이 미끼를 던졌고 내가 그걸 낼름  덥석 물어버렸네 짜증나게  보는동안 하품이 멈추질 않는다 신고"
"9","랑종별점 - 총 10점 중10사람들이 왜 악평을 쏟아내지. 직접 보면 생각 달라진다. 강추! 신고"
"10","랑종별점 - 총 10점 중10후반부의 아쉬움과는 별개로 초중반까지는 매우 좋았다. 신고"
